Brand,Product,Price,Rating,Total_ratings,Total_reviews,Fit,Pattern
VeBNoR,Men Regular Fit Solid Spread Collar Casual Shirt,379,4,"1,25,357","12,845",Regular,Solid
N AND J,Men Slim Fit Printed Spread Collar Casual Shirt,289,3.9,"24,644","2,069",Slim,Printed
Dennis Lingo,Men Slim Fit Solid Slim Collar Casual Shirt,649,4,"3,70,023","38,966",Slim,Solid
Tanip,Men Slim Fit Checkered Spread Collar Casual Shirt,309,3.8,"56,220","4,852",Slim,Checkered
allan peter,Men Regular Fit Printed Casual Shirt,409,3.9,"15,569","1,046",Regular,Printed
Majestic Man,Men Slim Fit Striped Spread Collar Casual Shirt,439,4,"7,611",779,Slim,Striped
PROVOGUE,Men Slim Fit Solid Casual Shirt,399,4.1,"1,070",80,Slim,Solid
tallwalker,Men Slim Fit Checkered Casual Shirt,464,4,422,35,Slim,Checkered
TRIPR,Men Regular Fit Solid Casual Shirt,349,3.8,"7,783",690,Regular,Solid
METRONAUT By Flipkart,Men Slim Fit Checkered Casual Shirt,324,3.4,132,7,Slim,Checkered
Peter England University,Men Super Slim Fit Solid Spread Collar Casual Shirt,659,4.2,293,27,Super,Fit
COMBRAIDED,Men Slim Fit Solid Mandarin Collar Casual Shirt,349,4,"3,613",229,Slim,Solid
BlueMatrix,Men Regular Fit Solid Casual Shirt,384,3.8,249,10,Regular,Solid
Dennis Lingo,Men Slim Fit Checkered Slim Collar Casual Shirt,699,4.2,"8,463",783,Slim,Checkered
LOUIS MONARCH,Men Regular Fit Striped Button Down Collar Casual Shirt,497,4,589,59,Regular,Striped
BASE 41,Men Slim Fit Checkered Spread Collar Casual Shirt,359,3.9,"2,058",147,Slim,Checkered
Praizy,Men Regular Fit Solid Mandarin Collar Casual Shirt,384,4,158,8,Regular,Solid
VeBNoR,Men Regular Fit Printed Spread Collar Casual Shirt,289,4.1,"10,783","1,010",Regular,Printed
Plus91,Men Regular Fit Solid Spread Collar Casual Shirt,429,3.9,76,2,Regular,Solid
VERTICALS,Men Regular Fit Solid Spread Collar Casual Shirt,499,NA,NA,NA,Regular,Solid
LOUIS MONARCH,Men Regular Fit Striped Button Down Collar Casual Shirt,497,4,589,59,Regular,Striped
Tanip,Men Slim Fit Checkered Spread Collar Casual Shirt,289,3.9,"7,598",687,Slim,Checkered
Dennis Lingo,Men Slim Fit Checkered Spread Collar Casual Shirt,499,4.2,142,12,Slim,Checkered
Tanip,Men Slim Fit Checkered Spread Collar Casual Shirt,329,3.8,"56,220","4,852",Slim,Checkered
RAHUL LOOK,Men Regular Fit Checkered Curved Collar Casual Shirt,429,3.8,"2,682",227,Regular,Checkered
HIGHLANDER,Men Slim Fit Printed Cut Away Collar Casual Shirt,367,4.1,"1,318",97,Slim,Printed
BASE 41,Men Regular Fit Solid Spread Collar Casual Shirt,367,3.9,"3,254",283,Regular,Solid
PROVOGUE,Men Slim Fit Checkered Casual Shirt,549,4.2,176,23,Slim,Checkered
METRONAUT By Flipkart,Men Slim Fit Checkered Casual Shirt,324,3.7,105,6,Slim,Checkered
Majestic Man,Men Slim Fit Striped Spread Collar Casual Shirt,429,4,"6,613",732,Slim,Striped
BlueMatrix,Men Regular Fit Solid Mandarin Collar Casual Shirt,384,3.8,249,10,Regular,Solid
LEWEL,Men Slim Fit Checkered Casual Shirt,472,3.8,"23,038","1,389",Slim,Checkered
PETER ENGLAND,Men Regular Fit Solid Spread Collar Casual Shirt,599,4,111,4,Regular,Solid
Majestic Man,Men Slim Fit Solid Spread Collar Casual Shirt,469,3.9,"26,085","2,596",Slim,Solid
HIGHLANDER,Men Slim Fit Striped Cut Away Collar Casual Shirt,418,NA,NA,NA,Slim,Striped
HIGHLANDER,Men Slim Fit Printed Spread Collar Casual Shirt,480,4.1,"3,706",436,Slim,Printed
SKY BLUE ENTERPRISE,Men Regular Fit Printed Button Down Collar Casual Shirt,346,3.9,402,23,Regular,Printed
FUBAR,Men Slim Fit Checkered Casual Shirt,299,3.9,"3,023",269,Slim,Checkered
COMBRAIDED,Men Slim Fit Solid Mandarin Collar Casual Shirt,349,4,"3,613",229,Slim,Solid
Allen Solly,Men Regular Fit Checkered Cut Away Collar Casual Shirt,755,3.9,"1,977",175,Regular,Checkered
TRIPR,Men Regular Fit Printed Casual Shirt,249,3.7,"3,515",216,Regular,Printed
Peter England University,Men Super Slim Fit Checkered Casual Shirt,649,4.1,291,20,Super,Fit
COMBRAIDED,Men Regular Fit Striped Spread Collar Casual Shirt,329,3.9,"2,616",153,Regular,Striped
Tanip,Men Slim Fit Checkered Spread Collar Casual Shirt,309,3.8,"56,220","4,852",Slim,Checkered
HIGHLANDER,Men Slim Fit Checkered Spread Collar Casual Shirt,519,4.1,"5,210",625,Slim,Checkered
Dennis Lingo,Men Slim Fit Checkered Slim Collar Casual Shirt,699,4.1,"14,907","1,347",Slim,Checkered
PROVOGUE,Men Slim Fit Checkered Casual Shirt,459,4.1,163,10,Slim,Checkered
Dennis Lingo,Men Slim Fit Checkered Spread Collar Casual Shirt,499,4.3,50,4,Slim,Checkered
clinch fashion,Men Regular Fit Printed Spread Collar Casual Shirt,296,3.8,199,10,Regular,Printed
Allen Solly,Men Slim Fit Solid Spread Collar Casual Shirt,764,4.1,14,1,Slim,Solid
Roadster,Men Regular Fit Printed Mandarin Collar Casual Shirt,"1,049",4.1,886,79,Regular,Printed
GESPO,Men Regular Fit Solid Casual Shirt,339,3.9,"78,410","8,304",Regular,Solid
The Indian Garage Co.,Men Regular Fit Solid Cut Away Collar Casual Shirt,437,4.1,10,1,Regular,Solid
HIGHLANDER,Men Slim Fit Solid Spread Collar Casual Shirt,529,3.9,"2,509",272,Slim,Solid
HIGHLANDER,Men Slim Fit Solid Cut Away Collar Casual Shirt,489,4.1,"1,377",138,Slim,Solid
FUBAR,Men Slim Fit Printed Spread Collar Casual Shirt,329,4,"3,141",174,Slim,Printed
U.S. POLO ASSN.,Men Slim Fit Printed Cut Away Collar Casual Shirt,"1,185",4.2,6,1,Slim,Printed
TRIPR,Men Regular Fit Solid Casual Shirt,349,3.8,"7,783",690,Regular,Solid
N AND J,Men Slim Fit Printed Spread Collar Casual Shirt,289,3.9,"24,644","2,069",Slim,Printed
METRONAUT By Flipkart,Men Regular Fit Checkered Casual Shirt,339,3.7,181,15,Regular,Checkered
HIGHLANDER,Men Slim Fit Printed Spread Collar Casual Shirt,480,4.1,"3,706",436,Slim,Printed
Mast & Harbour,Men Slim Fit Printed Casual Shirt,379,4,103,10,Slim,Printed
Plus91,Men Regular Fit Solid Spread Collar Casual Shirt,429,3.9,76,2,Regular,Solid
WROGN,Men Regular Fit Self Design Casual Shirt,"1,049",4.5,15,0,Regular,Self
Allen Solly,Men Regular Fit Solid Button Down Collar Casual Shirt,779,4,412,27,Regular,Solid
COMBRAIDED,Men Slim Fit Checkered Slim Collar Casual Shirt,329,3.7,"14,944",947,Slim,Checkered
Tanip,Men Slim Fit Checkered Spread Collar Casual Shirt,309,3.8,"56,220","4,852",Slim,Checkered
Solstice,Men Regular Fit Solid Spread Collar Casual Shirt,472,3.7,106,4,Regular,Solid
COMBRAIDED,Men Slim Fit Solid Mandarin Collar Casual Shirt,349,4,"3,613",229,Slim,Solid
Louis Philippe Sport,Men Slim Fit Solid Casual Shirt,"1,229",4.2,260,23,Slim,Solid
WOXEN,Men Slim Fit Solid Spread Collar Casual Shirt,429,3.8,"2,016",165,Slim,Solid
Peter England University,Men Super Slim Fit Solid Spread Collar Casual Shirt,659,4.2,293,27,Super,Fit
BASE 41,Men Slim Fit Checkered Spread Collar Casual Shirt,359,3.9,"2,058",147,Slim,Checkered
HIGHLANDER,Men Slim Fit Striped Cut Away Collar Casual Shirt,575,4.1,395,32,Slim,Striped
GESPO,Men Regular Fit Solid Casual Shirt,339,3.9,"78,410","8,304",Regular,Solid
METRONAUT By Flipkart,Men Slim Fit Checkered Casual Shirt,424,3.9,82,7,Slim,Checkered
Praizy,Men Regular Fit Solid Mandarin Collar Casual Shirt,384,4,158,8,Regular,Solid
MILDIN,Men Slim Fit Solid Mandarin Collar Casual Shirt,389,4,"9,535",699,Slim,Solid
